ID,DESCRIPCION,PROVINCIA_ID
0101,CUENCA,01
0102,GIRÓN,01
0103,GUALACEO,01
0104,NABÓN,01
0105,PAUTE,01
0106,PUCARA,01
0107,SAN FERNANDO,01
0108,SANTA ISABEL,01
0109,SIGSIG,01
0110,OÑA,01
0111,CHORDELEG,01
0112,EL PAN,01
0113,SEVILLA DE ORO,01
0114,GUACHAPALA,01
0115,CAMILO PONCE ENRÍQUEZ,01
0201,GUARANDA,02
0202,CHILLANES,02
0203,CHIMBO,02
0204,ECHEANDÍA,02
0205,SAN MIGUEL,02
0206,CALUMA,02
0207,LAS NAVES,02
0301,AZOGUES,03
0302,BIBLIÁN,03
0303,CAÑAR,03
0304,LA TRONCAL,03
0305,EL TAMBO,03
0306,DÉLEG,03
0307,SUSCAL,03
0401,TULCÁN,04
0402,BOLÍVAR,04
0403,ESPEJO,04
0404,MIRA,04
0405,MONTÚFAR,04
0406,SAN PEDRO DE HUACA,04
0501,LATACUNGA,05
0502,LA MANÁ,05
0503,PANGUA,05
0504,PUJILI,05
0505,SALCEDO,05
0506,SAQUISILÍ,05
0507,SIGCHOS,05
0601,RIOBAMBA,06
0602,ALAUSI,06
0603,COLTA,06
0604,CHAMBO,06
0605,CHUNCHI,06
0606,GUAMOTE,06
0607,GUANO,06
0608,PALLATANGA,06
0609,PENIPE,06
0610,CUMANDÁ,06
0701,MACHALA,07
0702,ARENILLAS,07
0703,ATAHUALPA,07
0704,BALSAS,07
0705,CHILLA,07
0706,EL GUABO,07
0707,HUAQUILLAS,07
0708,MARCABELÍ,07
0709,PASAJE,07
0710,PIÑAS,07
0711,PORTOVELO,07
0712,SANTA ROSA,07
0713,ZARUMA,07
0714,LAS LAJAS,07
0801,ESMERALDAS,08
0802,ELOY ALFARO,08
0803,MUISNE,08
0804,QUININDÉ,08
0805,SAN LORENZO,08
0806,ATACAMES,08
0807,RIOVERDE,08
0808,LA CONCORDIA,08
0901,GUAYAQUIL,09
0902,ALFREDO BAQUERIZO MORENO (JUJÁN),09
0903,BALAO,09
0904,BALZAR,09
0905,COLIMES,09
0906,DAULE,09
0907,DURÁN,09
0908,EL EMPALME,09
0909,EL TRIUNFO,09
0910,MILAGRO,09
0911,NARANJAL,09
0912,NARANJITO,09
0913,PALESTINA,09
0914,PEDRO CARBO,09
0916,SAMBORONDÓN,09
0918,SANTA LUCÍA,09
0919,SALITRE (URBINA JADO),09
0920,SAN JACINTO DE YAGUACHI,09
0921,PLAYAS,09
0922,SIMÓN BOLÍVAR,09
0923,CORONEL MARCELINO MARIDUEÑA,09
0924,LOMAS DE SARGENTILLO,09
0925,NOBOL,09
0927,GENERAL ANTONIO ELIZALDE,09
0928,ISIDRO AYORA,09
1001,IBARRA,10
1002,ANTONIO ANTE,10
1003,COTACACHI,10
1004,OTAVALO,10
1005,PIMAMPIRO,10
1006,SAN MIGUEL DE URCUQUÍ,10
1101,LOJA,11
1102,CALVAS,11
1103,CATAMAYO,11
1104,CELICA,11
1105,CHAGUARPAMBA,11
1106,ESPÍNDOLA,11
1107,GONZANAMÁ,11
1108,MACARÁ,11
1109,PALTAS,11
1110,PUYANGO,11
1111,SARAGURO,11
1112,SOZORANGA,11
1113,ZAPOTILLO,11
1114,PINDAL,11
1115,QUILANGA,11
1116,OLMEDO,11
1201,BABAHOYO,12
1202,BABA,12
1203,MONTALVO,12
1204,PUEBLOVIEJO,12
1205,QUEVEDO,12
1206,URDANETA,12
1207,VENTANAS,12
1208,VÍNCES,12
1209,PALENQUE,12
1210,BUENA FÉ,12
1211,VALENCIA,12
1212,MOCACHE,12
1213,QUINSALOMA,12
1301,PORTOVIEJO,13
1302,BOLÍVAR,13
1303,CHONE,13
1304,EL CARMEN,13
1305,FLAVIO ALFARO,13
1306,JIPIJAPA,13
1307,JUNÍN,13
1308,MANTA,13
1309,MONTECRISTI,13
1310,PAJÁN,13
1311,PICHINCHA,13
1312,ROCAFUERTE,13
1313,SANTA ANA,13
1314,SUCRE,13
1315,TOSAGUA,13
1316,24 DE MAYO,13
1317,PEDERNALES,13
1318,OLMEDO,13
1319,PUERTO LÓPEZ,13
1320,JAMA,13
1321,JARAMIJÓ,13
1322,SAN VICENTE,13
1401,MORONA,14
1402,GUALAQUIZA,14
1403,LIMÓN INDANZA,14
1404,PALORA,14
1405,SANTIAGO,14
1406,SUCÚA,14
1407,HUAMBOYA,14
1408,SAN JUAN BOSCO,14
1409,TAISHA,14
1410,LOGROÑO,14
1411,PABLO SEXTO,14
1412,TIWINTZA,14
1501,TENA,15
1503,ARCHIDONA,15
1504,EL CHACO,15
1507,QUIJOS,15
1509,CARLOS JULIO AROSEMENA TOLA,15
1601,PASTAZA,16
1602,MERA,16
1603,SANTA CLARA,16
1604,ARAJUNO,16
1701,QUITO,17
1702,CAYAMBE,17
1703,MEJIA,17
1704,PEDRO MONCAYO,17
1705,RUMIÑAHUI,17
1707,SAN MIGUEL DE LOS BANCOS,17
1708,PEDRO VICENTE MALDONADO,17
1709,PUERTO QUITO,17
1801,AMBATO,18
1802,BAÑOS DE AGUA SANTA,18
1803,CEVALLOS,18
1804,MOCHA,18
1805,PATATE,18
1806,QUERO,18
1807,SAN PEDRO DE PELILEO,18
1808,SANTIAGO DE PÍLLARO,18
1809,TISALEO,18
1901,ZAMORA,19
1902,CHINCHIPE,19
1903,NANGARITZA,19
1904,YACUAMBI,19
1905,YANTZAZA (YANZATZA),19
1906,EL PANGUI,19
1907,CENTINELA DEL CÓNDOR,19
1908,PALANDA,19
1909,PAQUISHA,19
2001,SAN CRISTÓBAL,20
2002,ISABELA,20
2003,SANTA CRUZ,20
2101,LAGO AGRIO,21
2102,GONZALO PIZARRO,21
2103,PUTUMAYO,21
2104,SHUSHUFINDI,21
2105,SUCUMBÍOS,21
2106,CASCALES,21
2107,CUYABENO,21
2201,ORELLANA,22
2202,AGUARICO,22
2203,LA JOYA DE LOS SACHAS,22
2204,LORETO,22
2301,SANTO DOMINGO,23
2401,SANTA ELENA,24
2402,LA LIBERTAD,24
2403,SALINAS,24
9001,LAS GOLONDRINAS,90
9003,MANGA DEL CURA,90
9004,EL PIEDRERO,90
